ano;qtde_ocorrencias;crime;regiao;estado
2009;58;Latrocinio;sul;santa catarina
2009;27;Latrocinio;nordeste;sergipe
2009;303;Latrocinio;sudeste;sao paulo
2009;13;Latrocinio;norte;tocantins
2010;14;Latrocinio;norte;acre
2010;36;Latrocinio;nordeste;alagoas
2010;46;Latrocinio;norte;amazonas
2010;1;Latrocinio;norte;amapa
2010;116;Latrocinio;nordeste;bahia
2010;48;Latrocinio;nordeste;ceara
2010;139;Latrocinio;centro-oeste;distrito federal
2010;16;Latrocinio;sudeste;espirito santo
2010;29;Latrocinio;centro-oeste;goias
2010;27;Latrocinio;nordeste;maranhao
2010;16;Latrocinio;sudeste;minas gerais
2010;13;Latrocinio;centro-oeste;mato grosso do sul
2010;47;Latrocinio;centro-oeste;mato grosso
2010;223;Latrocinio;norte;para
2010;17;Latrocinio;nordeste;paraiba
2010;122;Latrocinio;nordeste;pernambuco
2010;1;Latrocinio;nordeste;piaui
2010;101;Latrocinio;sul;parana
2010;146;Latrocinio;sudeste;rio de janeiro
2010;13;Latrocinio;nordeste;rio grande do norte
2010;26;Latrocinio;norte;rondonia
2010;3;Latrocinio;norte;roraima
2010;74;Latrocinio;sul;rio grande do sul
2010;41;Latrocinio;sul;santa catarina
2010;20;Latrocinio;nordeste;sergipe
2010;253;Latrocinio;sudeste;sao paulo
2010;5;Latrocinio;norte;tocantins
2011;11;Latrocinio;norte;acre
2011;36;Latrocinio;nordeste;alagoas
2011;43;Latrocinio;norte;amazonas
2011;0;Latrocinio;norte;amapa
2011;144;Latrocinio;nordeste;bahia
2011;76;Latrocinio;nordeste;ceara
2011;44;Latrocinio;centro-oeste;distrito federal
2011;22;Latrocinio;sudeste;espirito santo
2011;45;Latrocinio;centro-oeste;goias
2011;98;Latrocinio;nordeste;maranhao
2011;90;Latrocinio;sudeste;minas gerais
2011;19;Latrocinio;centro-oeste;mato grosso do sul
2011;49;Latrocinio;centro-oeste;mato grosso
2011;140;Latrocinio;norte;para
2011;27;Latrocinio;nordeste;paraiba
2011;78;Latrocinio;nordeste;pernambuco
2011;4;Latrocinio;nordeste;piaui
2011;88;Latrocinio;sul;parana
2011;116;Latrocinio;sudeste;rio de janeiro
2011;17;Latrocinio;nordeste;rio grande do norte
2011;12;Latrocinio;norte;rondonia
2011;1;Latrocinio;norte;roraima
2011;82;Latrocinio;sul;rio grande do sul
2011;38;Latrocinio;sul;santa catarina
2011;24;Latrocinio;nordeste;sergipe
2011;316;Latrocinio;sudeste;sao paulo
2011;16;Latrocinio;norte;tocantins
2012;10;Latrocinio;norte;acre
2012;87;Latrocinio;nordeste;alagoas
2012;40;Latrocinio;norte;amazonas
2012;7;Latrocinio;norte;amapa
2012;165;Latrocinio;nordeste;bahia
2012;101;Latrocinio;nordeste;ceara
2012;47;Latrocinio;centro-oeste;distrito federal
2012;46;Latrocinio;sudeste;espirito santo
2012;84;Latrocinio;centro-oeste;goias
2012;54;Latrocinio;nordeste;maranhao
2012;128;Latrocinio;sudeste;minas gerais
2012;28;Latrocinio;centro-oeste;mato grosso do sul
2012;40;Latrocinio;centro-oeste;mato grosso
2012;132;Latrocinio;norte;para
2012;21;Latrocinio;nordeste;paraiba
2012;84;Latrocinio;nordeste;pernambuco
2012;20;Latrocinio;nordeste;piaui
2012;42;Latrocinio;sul;parana
2012;136;Latrocinio;sudeste;rio de janeiro
2012;9;Latrocinio;nordeste;rio grande do norte
2012;14;Latrocinio;norte;rondonia
2012;4;Latrocinio;norte;roraima
2012;91;Latrocinio;sul;rio grande do sul
2012;51;Latrocinio;sul;santa catarina
2012;36;Latrocinio;nordeste;sergipe
